user_id,user_total_orders,user_avg_order_interval,user_std_order_interval,user_preferred_dow,user_preferred_hour,user_days_since_last_order,user_total_items,user_total_reorders,user_reorder_rate,user_unique_products,user_unique_departments,user_unique_aisles,user_avg_basket_size,cluster,segment_name
22,15,12.666667,11.647603,5,19,30.0,69,35,0.5072,34,11,19,4.6,2,Occasional / At-Risk Shoppers
23,4,11.0,13.190906,5,10,30.0,40,4,0.1,36,12,23,10.0,2,Occasional / At-Risk Shoppers
24,18,14.666667,9.449556,0,8,14.0,38,20,0.5263,18,10,14,2.11,3,Routine Convenience Buyers
25,3,20.0,17.320509,1,14,30.0,21,2,0.0952,19,11,17,7.0,2,Occasional / At-Risk Shoppers
26,12,11.5,9.249079,3,9,7.0,56,22,0.3929,34,10,23,4.67,3,Routine Convenience Buyers
27,81,4.382716,3.9292743,2,14,6.0,768,548,0.7135,220,11,43,9.48,1,High-Value Frequent Loyalists
28,24,11.208333,8.987814,0,17,13.0,183,77,0.4208,106,15,45,7.62,0,Full-Pantry Bulk Shoppers
29,18,10.888889,3.786802,5,11,14.0,225,158,0.7022,67,13,43,12.5,0,Full-Pantry Bulk Shoppers
30,8,18.875,12.217523,1,13,30.0,11,5,0.4545,6,4,4,1.38,2,Occasional / At-Risk Shoppers
31,20,4.65,2.9784312,3,11,0.0,299,109,0.3645,190,15,48,14.95,1,High-Value Frequent Loyalists
32,5,16.2,14.906375,3,12,30.0,114,34,0.2982,80,14,35,22.8,0,Full-Pantry Bulk Shoppers
33,3,19.0,16.52271,1,14,30.0,53,19,0.3585,34,9,22,17.67,2,Occasional / At-Risk Shoppers
34,5,16.0,11.022704,4,15,21.0,32,6,0.1875,26,9,17,6.4,2,Occasional / At-Risk Shoppers
35,9,19.0,13.28533,3,16,28.0,184,94,0.5109,90,12,38,20.44,0,Full-Pantry Bulk Shoppers
36,37,9.459459,6.958586,0,17,7.0,153,98,0.6405,55,13,25,4.14,1,High-Value Frequent Loyalists
37,23,12.826087,8.515506,5,14,6.0,188,84,0.4468,104,15,34,8.17,3,Routine Convenience Buyers
38,12,19.25,10.10063,6,10,30.0,195,107,0.5487,88,14,40,16.25,0,Full-Pantry Bulk Shoppers
39,7,10.285714,9.724784,6,12,30.0,141,73,0.5177,68,13,31,20.14,0,Full-Pantry Bulk Shoppers
40,9,11.666667,6.689544,0,9,14.0,104,68,0.6538,36,10,21,11.56,3,Routine Convenience Buyers
41,5,20.6,11.907981,0,12,27.0,65,18,0.2769,47,11,26,13.0,2,Occasional / At-Risk Shoppers
42,16,13.0,7.933053,1,13,14.0,133,73,0.5489,60,12,35,8.31,3,Routine Convenience Buyers
43,11,9.454545,6.7433467,4,12,9.0,147,59,0.4014,88,16,40,13.36,0,Full-Pantry Bulk Shoppers
44,3,20.0,17.320509,0,9,30.0,37,7,0.1892,30,13,22,12.33,2,Occasional / At-Risk Shoppers
45,4,15.0,12.489996,1,20,30.0,18,1,0.0556,17,5,12,4.5,2,Occasional / At-Risk Shoppers
46,19,16.789474,9.767173,0,16,21.0,157,95,0.6051,62,14,32,8.26,0,Full-Pantry Bulk Shoppers
47,5,6.4,6.348228,2,10,14.0,26,5,0.1923,21,13,20,5.2,3,Routine Convenience Buyers
48,10,19.5,9.732534,5,9,14.0,113,55,0.4867,58,12,29,11.3,0,Full-Pantry Bulk Shoppers
49,8,24.625,10.6494465,2,11,28.0,47,2,0.0426,45,13,26,5.88,2,Occasional / At-Risk Shoppers
50,67,5.328358,2.9044795,1,11,6.0,453,364,0.8035,89,11,38,6.76,1,High-Value Frequent Loyalists
51,3,10.0,8.888194,2,14,17.0,29,5,0.1724,24,7,14,9.67,3,Routine Convenience Buyers
52,27,8.740741,5.3175516,1,10,10.0,169,118,0.6982,51,8,26,6.26,3,Routine Convenience Buyers
53,3,11.0,9.539392,1,15,16.0,35,1,0.0286,34,10,21,11.67,3,Routine Convenience Buyers
54,77,4.714286,4.1954145,4,11,1.0,619,369,0.5961,250,15,67,8.04,1,High-Value Frequent Loyalists
55,7,15.142858,10.05698,2,13,13.0,87,44,0.5057,43,12,26,12.43,0,Full-Pantry Bulk Shoppers
56,12,6.5,3.261344,1,8,8.0,145,93,0.6414,52,13,29,12.08,3,Routine Convenience Buyers
57,14,7.5,3.7158704,6,10,10.0,72,41,0.5694,31,12,18,5.14,3,Routine Convenience Buyers
58,15,8.666667,7.5750217,0,10,6.0,97,32,0.3299,65,15,38,6.47,3,Routine Convenience Buyers
59,10,15.1,10.640071,2,10,11.0,92,32,0.3478,60,12,28,9.2,3,Routine Convenience Buyers
60,8,21.75,10.673733,2,11,30.0,67,22,0.3284,45,11,19,8.38,2,Occasional / At-Risk Shoppers
61,4,18.5,14.456832,5,9,30.0,87,8,0.092,79,16,45,21.75,0,Full-Pantry Bulk Shoppers
62,10,13.9,10.224698,4,14,4.0,80,27,0.3375,53,12,29,8.0,3,Routine Convenience Buyers
63,39,8.897436,5.557332,1,12,13.0,504,307,0.6091,197,14,55,12.92,1,High-Value Frequent Loyalists
64,10,9.0,5.6960025,6,10,9.0,135,78,0.5778,57,13,32,13.5,0,Full-Pantry Bulk Shoppers
65,14,11.857142,10.762164,0,9,30.0,132,52,0.3939,80,17,36,9.43,0,Full-Pantry Bulk Shoppers
66,6,25.0,12.247449,0,12,30.0,23,5,0.2174,18,6,10,3.83,2,Occasional / At-Risk Shoppers
67,24,7.25,3.6623821,1,11,1.0,81,58,0.716,23,6,15,3.38,3,Routine Convenience Buyers
68,6,23.5,12.062338,5,10,30.0,70,19,0.2714,51,11,27,11.67,2,Occasional / At-Risk Shoppers
69,5,9.8,6.0166435,2,12,13.0,50,20,0.4,30,11,23,10.0,3,Routine Convenience Buyers
70,13,17.615385,10.966148,4,18,30.0,104,33,0.3173,71,17,44,8.0,0,Full-Pantry Bulk Shoppers
71,23,13.652174,8.133034,3,14,18.0,437,331,0.7574,106,13,42,19.0,0,Full-Pantry Bulk Shoppers
72,12,14.0,9.390517,6,13,30.0,47,32,0.6809,15,9,12,3.92,2,Occasional / At-Risk Shoppers
73,7,19.0,10.082989,3,16,22.0,24,8,0.3333,16,9,13,3.43,2,Occasional / At-Risk Shoppers
74,5,14.0,12.227019,1,8,30.0,48,6,0.125,42,12,21,9.6,2,Occasional / At-Risk Shoppers
75,23,8.478261,4.897769,1,13,9.0,311,212,0.6817,99,14,42,13.52,1,High-Value Frequent Loyalists
76,9,19.555555,12.521093,1,11,30.0,32,7,0.2188,25,7,12,3.56,2,Occasional / At-Risk Shoppers
77,12,12.333333,9.613752,0,9,6.0,203,75,0.3695,128,14,38,16.92,0,Full-Pantry Bulk Shoppers
78,6,13.666667,13.033291,0,10,30.0,41,3,0.0732,38,12,22,6.83,2,Occasional / At-Risk Shoppers
79,7,15.571428,11.731114,0,2,30.0,93,44,0.4731,49,10,27,13.29,2,Occasional / At-Risk Shoppers
80,12,8.666667,5.193236,2,15,6.0,128,76,0.5938,52,12,26,10.67,3,Routine Convenience Buyers
81,7,19.857143,12.992672,1,7,30.0,27,7,0.2593,20,7,12,3.86,2,Occasional / At-Risk Shoppers
82,19,10.578947,6.702535,1,10,8.0,131,104,0.7939,27,8,18,6.89,3,Routine Convenience Buyers
83,6,15.0,10.56409,4,14,20.0,39,13,0.3333,26,9,16,6.5,2,Occasional / At-Risk Shoppers
84,8,19.875,12.517844,0,13,30.0,64,20,0.3125,44,12,22,8.0,2,Occasional / At-Risk Shoppers
85,7,16.0,12.3423395,6,14,10.0,30,14,0.4667,16,5,8,4.29,3,Routine Convenience Buyers
86,17,19.058823,9.323831,0,10,19.0,267,137,0.5131,130,12,33,15.71,0,Full-Pantry Bulk Shoppers
87,27,9.925926,8.686532,0,8,7.0,176,115,0.6534,61,13,33,6.52,1,High-Value Frequent Loyalists
88,7,15.0,12.151817,1,13,23.0,11,6,0.5455,5,3,4,1.57,2,Occasional / At-Risk Shoppers
89,20,8.9,5.4182925,0,14,7.0,239,160,0.6695,79,11,31,11.95,1,High-Value Frequent Loyalists
90,71,3.4225352,1.678962,5,13,1.0,670,593,0.8851,77,7,17,9.44,1,High-Value Frequent Loyalists
91,15,9.333333,9.044862,4,14,5.0,211,126,0.5972,85,14,45,14.07,0,Full-Pantry Bulk Shoppers
92,5,18.0,11.113055,2,8,21.0,20,6,0.3,14,6,11,4.0,2,Occasional / At-Risk Shoppers
93,14,12.357142,12.450562,6,9,30.0,31,5,0.1613,26,9,18,2.21,2,Occasional / At-Risk Shoppers
94,9,13.0,11.101802,6,16,15.0,56,11,0.1964,45,14,23,6.22,3,Routine Convenience Buyers
95,8,18.5,10.862781,1,14,11.0,144,46,0.3194,98,10,35,18.0,0,Full-Pantry Bulk Shoppers
96,16,10.75,6.668333,4,9,9.0,143,87,0.6084,56,12,27,8.94,3,Routine Convenience Buyers
97,5,19.2,12.617448,0,10,14.0,54,5,0.0926,49,13,27,10.8,2,Occasional / At-Risk Shoppers
98,14,18.857143,11.175916,3,13,8.0,50,23,0.46,27,11,20,3.57,3,Routine Convenience Buyers
99,18,16.722221,8.442229,4,13,8.0,211,85,0.4028,126,15,45,11.72,0,Full-Pantry Bulk Shoppers
100,5,20.8,12.617448,3,18,26.0,27,7,0.2593,20,7,16,5.4,2,Occasional / At-Risk Shoppers
101,20,13.25,9.623846,5,11,4.0,170,84,0.4941,86,11,32,8.5,3,Routine Convenience Buyers
102,6,20.833334,12.592326,5,23,30.0,59,25,0.4237,34,6,12,9.83,2,Occasional / At-Risk Shoppers
103,17,11.176471,7.6094947,2,17,13.0,77,36,0.4675,41,9,21,4.53,3,Routine Convenience Buyers
104,5,15.2,12.517987,3,9,4.0,18,5,0.2778,13,2,4,3.6,3,Routine Convenience Buyers
105,7,17.285715,12.552746,5,15,30.0,14,4,0.2857,10,5,10,2.0,2,Occasional / At-Risk Shoppers
106,3,6.6666665,6.1101007,0,12,12.0,41,5,0.122,36,8,21,13.67,3,Routine Convenience Buyers
107,15,14.133333,11.849452,0,15,9.0,130,58,0.4462,72,13,33,8.67,3,Routine Convenience Buyers
108,7,19.0,14.035668,0,13,30.0,69,30,0.4348,39,9,22,9.86,2,Occasional / At-Risk Shoppers
109,6,16.666666,11.093542,1,5,15.0,69,19,0.2754,50,15,31,11.5,0,Full-Pantry Bulk Shoppers
110,20,15.45,11.142498,0,10,4.0,347,193,0.5562,154,15,48,17.35,0,Full-Pantry Bulk Shoppers
111,7,17.142857,15.17046,5,8,3.0,56,6,0.1071,50,10,26,8.0,3,Routine Convenience Buyers
112,26,7.6923075,6.7691607,1,15,5.0,158,92,0.5823,66,13,35,6.08,1,High-Value Frequent Loyalists
113,5,10.2,8.105554,3,22,22.0,5,4,0.8,1,1,1,1.0,3,Routine Convenience Buyers
114,4,6.25,4.924429,0,8,12.0,66,27,0.4091,39,8,15,16.5,3,Routine Convenience Buyers
115,12,15.083333,10.299676,0,14,9.0,79,15,0.1899,64,11,32,6.58,3,Routine Convenience Buyers
116,6,11.833333,8.13429,0,17,10.0,25,4,0.16,21,10,14,4.17,3,Routine Convenience Buyers
117,11,19.09091,12.053668,3,14,20.0,120,52,0.4333,68,11,35,10.91,2,Occasional / At-Risk Shoppers
118,27,12.185185,7.6612763,1,9,19.0,165,116,0.703,49,8,21,6.11,3,Routine Convenience Buyers
119,3,8.333333,8.504901,0,10,17.0,22,6,0.2727,16,9,13,7.33,3,Routine Convenience Buyers
120,3,11.333333,10.016653,2,7,19.0,7,3,0.4286,4,2,3,2.33,3,Routine Convenience Buyers
121,10,18.4,10.905656,1,16,17.0,55,30,0.5455,25,7,11,5.5,2,Occasional / At-Risk Shoppers
122,29,7.6551723,8.329276,5,20,22.0,120,72,0.6,48,14,28,4.14,1,High-Value Frequent Loyalists
123,10,20.4,11.345092,0,20,17.0,63,31,0.4921,32,10,26,6.3,2,Occasional / At-Risk Shoppers
124,8,13.25,10.053429,1,8,14.0,79,31,0.3924,48,9,19,9.88,3,Routine Convenience Buyers
125,13,10.923077,6.993587,6,9,9.0,182,82,0.4505,100,15,48,14.0,0,Full-Pantry Bulk Shoppers
126,10,22.7,10.863292,0,10,21.0,105,47,0.4476,58,12,27,10.5,2,Occasional / At-Risk Shoppers
127,17,11.294118,7.286672,0,19,6.0,305,163,0.5344,142,15,48,17.94,0,Full-Pantry Bulk Shoppers
128,11,16.0,12.759311,0,18,1.0,91,22,0.2418,69,15,33,8.27,3,Routine Convenience Buyers
129,11,6.818182,8.669697,1,18,1.0,64,31,0.4844,33,13,22,5.82,3,Routine Convenience Buyers
130,3,20.0,17.320509,5,12,30.0,37,6,0.1622,31,7,14,12.33,2,Occasional / At-Risk Shoppers
131,9,17.333334,9.63068,3,8,15.0,59,34,0.5763,25,9,17,6.56,2,Occasional / At-Risk Shoppers
132,24,3.2083333,1.9332147,2,8,5.0,116,70,0.6034,46,9,22,4.83,3,Routine Convenience Buyers
133,20,6.15,4.1710153,4,12,6.0,544,276,0.5074,268,17,77,27.2,0,Full-Pantry Bulk Shoppers
134,6,17.166666,12.221565,6,12,30.0,47,21,0.4468,26,9,15,7.83,2,Occasional / At-Risk Shoppers
135,4,9.0,6.0553007,0,8,11.0,26,9,0.3462,17,8,14,6.5,3,Routine Convenience Buyers
136,4,10.5,12.714821,0,8,29.0,47,6,0.1277,41,11,24,11.75,2,Occasional / At-Risk Shoppers
137,6,21.166666,13.541295,6,14,8.0,72,47,0.6528,25,10,21,12.0,0,Full-Pantry Bulk Shoppers
138,32,11.09375,8.153208,0,11,10.0,148,93,0.6284,55,12,28,4.62,1,High-Value Frequent Loyalists
139,4,5.0,3.7416575,3,17,6.0,14,6,0.4286,8,5,6,3.5,3,Routine Convenience Buyers
140,76,4.7763157,3.4316125,3,10,4.0,1151,847,0.7359,304,17,57,15.14,1,High-Value Frequent Loyalists
141,4,2.75,2.5,0,11,2.0,41,6,0.1463,35,11,22,10.25,3,Routine Convenience Buyers
142,45,7.111111,6.439305,1,19,4.0,368,298,0.8098,70,13,33,8.18,1,High-Value Frequent Loyalists
143,14,7.428571,3.4354327,5,20,7.0,222,106,0.4775,116,13,46,15.86,0,Full-Pantry Bulk Shoppers
144,7,5.571429,4.1173267,0,13,11.0,26,15,0.5769,11,5,7,3.71,3,Routine Convenience Buyers
145,8,3.25,3.615443,2,6,3.0,67,32,0.4776,35,12,18,8.38,3,Routine Convenience Buyers
146,40,8.45,5.9525905,0,10,19.0,371,234,0.6307,137,15,50,9.28,1,High-Value Frequent Loyalists
147,13,14.692307,9.629682,0,16,30.0,63,43,0.6825,20,10,16,4.85,2,Occasional / At-Risk Shoppers
148,7,6.0,10.645813,6,13,30.0,103,18,0.1748,85,15,40,14.71,0,Full-Pantry Bulk Shoppers
149,15,15.933333,8.066391,6,10,12.0,228,117,0.5132,111,14,46,15.2,0,Full-Pantry Bulk Shoppers
150,31,9.83871,7.7162027,4,16,6.0,288,133,0.4618,155,17,65,9.29,1,High-Value Frequent Loyalists
151,11,5.6363635,6.697354,2,17,2.0,164,44,0.2683,120,16,50,14.91,0,Full-Pantry Bulk Shoppers
152,65,5.5076923,3.3871222,5,12,1.0,696,539,0.7744,157,16,53,10.71,1,High-Value Frequent Loyalists
153,19,10.684211,6.0649505,0,16,7.0,267,177,0.6629,90,14,40,14.05,0,Full-Pantry Bulk Shoppers
154,35,9.3714285,5.615555,1,9,4.0,620,413,0.6661,207,17,76,17.71,1,High-Value Frequent Loyalists
155,22,14.909091,9.476332,1,11,1.0,241,191,0.7925,50,9,28,10.95,3,Routine Convenience Buyers
156,3,6.3333335,7.094599,0,9,5.0,18,7,0.3889,11,8,10,6.0,3,Routine Convenience Buyers
157,4,4.0,2.7080128,1,15,6.0,44,13,0.2955,31,10,20,11.0,3,Routine Convenience Buyers
158,5,11.4,7.5033326,1,15,13.0,31,4,0.129,27,9,18,6.2,3,Routine Convenience Buyers
159,4,16.5,12.60952,4,9,21.0,53,20,0.3774,33,11,26,13.25,0,Full-Pantry Bulk Shoppers
160,12,13.416667,7.476732,1,3,6.0,265,142,0.5358,123,16,55,22.08,0,Full-Pantry Bulk Shoppers
161,20,15.65,9.895639,1,22,22.0,263,134,0.5095,129,16,40,13.15,0,Full-Pantry Bulk Shoppers
162,14,5.214286,7.25554,0,17,3.0,87,21,0.2414,66,12,31,6.21,3,Routine Convenience Buyers
163,11,8.090909,8.677033,1,8,0.0,77,24,0.3117,53,12,29,7.0,3,Routine Convenience Buyers
164,10,15.4,9.191784,6,8,30.0,190,140,0.7368,50,13,28,19.0,0,Full-Pantry Bulk Shoppers
165,7,18.0,11.71893,0,11,27.0,92,42,0.4565,50,10,26,13.14,2,Occasional / At-Risk Shoppers
166,6,19.333334,12.754085,0,9,16.0,28,5,0.1786,23,12,18,4.67,2,Occasional / At-Risk Shoppers
167,5,16.0,10.862781,6,15,20.0,54,9,0.1667,45,12,28,10.8,2,Occasional / At-Risk Shoppers
168,22,8.363636,8.260898,0,14,8.0,140,49,0.35,91,14,35,6.36,3,Routine Convenience Buyers
169,6,14.833333,12.089941,4,17,6.0,85,9,0.1059,76,12,33,14.17,0,Full-Pantry Bulk Shoppers
170,3,20.0,17.320509,1,9,30.0,8,1,0.125,7,3,6,2.67,2,Occasional / At-Risk Shoppers
171,6,9.0,8.6487,6,14,20.0,57,21,0.3684,36,11,23,9.5,3,Routine Convenience Buyers
172,6,8.833333,6.7354784,1,9,14.0,20,6,0.3,14,7,9,3.33,3,Routine Convenience Buyers
173,44,5.7045455,5.160582,4,10,15.0,426,187,0.439,239,16,66,9.68,1,High-Value Frequent Loyalists
174,27,10.851851,8.60994,0,14,11.0,173,89,0.5145,84,14,46,6.41,1,High-Value Frequent Loyalists
175,23,4.9565215,3.5863156,3,8,7.0,130,37,0.2846,93,10,29,5.65,3,Routine Convenience Buyers
176,6,19.833334,12.998718,1,16,8.0,43,7,0.1628,36,11,17,7.17,2,Occasional / At-Risk Shoppers
177,14,5.928571,4.393427,0,13,0.0,48,24,0.5,24,11,17,3.43,3,Routine Convenience Buyers
178,5,12.4,11.326959,1,8,15.0,60,14,0.2333,46,12,29,12.0,0,Full-Pantry Bulk Shoppers
179,5,16.0,13.416408,0,18,30.0,31,5,0.1613,26,8,13,6.2,2,Occasional / At-Risk Shoppers
180,6,20.166666,11.321072,6,9,18.0,222,107,0.482,115,15,38,37.0,0,Full-Pantry Bulk Shoppers
181,10,18.2,11.023208,1,14,30.0,96,44,0.4583,52,10,22,9.6,2,Occasional / At-Risk Shoppers
182,26,11.923077,7.477556,6,14,7.0,204,135,0.6618,69,14,36,7.85,1,High-Value Frequent Loyalists
183,4,10.5,13.527749,0,15,30.0,76,18,0.2368,58,14,30,19.0,0,Full-Pantry Bulk Shoppers
184,11,20.818182,11.686045,0,16,4.0,153,81,0.5294,72,13,34,13.91,0,Full-Pantry Bulk Shoppers
185,6,24.166666,12.006943,2,7,30.0,40,6,0.15,34,7,16,6.67,2,Occasional / At-Risk Shoppers
186,7,12.0,10.878113,6,4,7.0,54,16,0.2963,38,11,21,7.71,3,Routine Convenience Buyers
187,32,6.78125,8.091151,1,12,8.0,203,140,0.6897,63,12,29,6.34,1,High-Value Frequent Loyalists
188,5,6.2,6.457554,0,6,5.0,72,21,0.2917,51,12,36,14.4,3,Routine Convenience Buyers
189,11,14.636364,8.249517,1,20,30.0,59,25,0.4237,34,11,19,5.36,2,Occasional / At-Risk Shoppers
190,17,13.823529,11.652442,4,15,12.0,160,69,0.4313,91,12,35,9.41,3,Routine Convenience Buyers
191,4,3.5,4.041452,3,11,7.0,23,3,0.1304,20,7,15,5.75,3,Routine Convenience Buyers
192,5,23.8,13.311649,1,10,30.0,42,26,0.619,16,8,15,8.4,2,Occasional / At-Risk Shoppers
193,5,15.6,11.058933,1,9,30.0,33,2,0.0606,31,6,12,6.6,2,Occasional / At-Risk Shoppers
194,9,15.555555,12.207693,4,18,9.0,90,34,0.3778,56,10,21,10.0,3,Routine Convenience Buyers
195,58,5.37931,4.274886,5,9,1.0,185,147,0.7946,38,8,20,3.19,1,High-Value Frequent Loyalists
196,3,18.666666,16.289055,1,8,30.0,3,1,0.3333,2,2,2,1.0,2,Occasional / At-Risk Shoppers
197,20,3.5,2.1884866,6,15,1.0,448,275,0.6138,173,16,59,22.4,1,High-Value Frequent Loyalists
198,5,13.2,12.67675,1,12,22.0,51,16,0.3137,35,9,18,10.2,2,Occasional / At-Risk Shoppers
199,3,5.6666665,5.1316013,6,13,10.0,16,8,0.5,8,4,6,5.33,3,Routine Convenience Buyers
200,9,18.666666,11.989579,2,13,30.0,172,84,0.4884,88,13,36,19.11,0,Full-Pantry Bulk Shoppers
201,7,6.571429,10.706029,2,8,30.0,53,17,0.3208,36,9,20,7.57,2,Occasional / At-Risk Shoppers
202,13,17.615385,9.742847,0,14,18.0,365,199,0.5452,166,16,65,28.08,0,Full-Pantry Bulk Shoppers
203,3,10.0,17.320509,5,16,30.0,11,6,0.5455,5,4,4,3.67,2,Occasional / At-Risk Shoppers
204,58,6.0,5.1333103,0,10,8.0,515,329,0.6388,186,17,51,8.88,1,High-Value Frequent Loyalists
205,12,11.833333,10.675659,1,17,22.0,49,32,0.6531,17,5,13,4.08,3,Routine Convenience Buyers
206,28,11.928572,7.7168818,5,13,5.0,177,93,0.5254,84,13,36,6.32,3,Routine Convenience Buyers
207,3,14.666667,12.74101,5,7,23.0,22,6,0.2727,16,8,12,7.33,2,Occasional / At-Risk Shoppers
208,18,8.666667,9.087807,1,11,30.0,93,53,0.5699,40,10,18,5.17,2,Occasional / At-Risk Shoppers
209,19,11.263158,6.4104266,1,14,15.0,316,264,0.8354,52,5,8,16.63,3,Routine Convenience Buyers
210,99,3.2828283,1.57817,0,17,3.0,1476,1243,0.8421,233,13,55,14.91,1,High-Value Frequent Loyalists
211,4,5.25,6.0207973,0,10,13.0,49,12,0.2449,37,11,19,12.25,3,Routine Convenience Buyers
212,12,14.666667,10.62872,0,20,12.0,29,12,0.4138,17,7,14,2.42,3,Routine Convenience Buyers
213,5,11.0,11.357817,6,9,11.0,56,8,0.1429,48,11,26,11.2,3,Routine Convenience Buyers
214,27,10.555555,6.795549,1,20,7.0,479,298,0.6221,181,15,52,17.74,0,Full-Pantry Bulk Shoppers
215,5,20.4,13.501852,3,10,30.0,31,2,0.0645,29,11,22,6.2,2,Occasional / At-Risk Shoppers
216,17,12.941176,8.127658,5,15,22.0,339,250,0.7375,89,11,40,19.94,0,Full-Pantry Bulk Shoppers
217,11,16.0,11.171392,0,11,7.0,79,19,0.2405,60,11,33,7.18,3,Routine Convenience Buyers
218,6,13.166667,9.847165,3,9,12.0,6,4,0.6667,2,1,2,1.0,3,Routine Convenience Buyers
219,33,9.848485,7.336217,3,10,2.0,404,251,0.6213,153,16,63,12.24,1,High-Value Frequent Loyalists
220,16,16.3125,10.612689,0,16,28.0,114,70,0.614,44,10,17,7.12,2,Occasional / At-Risk Shoppers
221,23,10.956522,5.6687202,1,16,10.0,231,168,0.7273,63,10,26,10.04,1,High-Value Frequent Loyalists
222,70,5.1714287,5.10178,2,7,1.0,484,347,0.7169,137,13,44,6.91,1,High-Value Frequent Loyalists
223,49,7.285714,2.5739076,1,8,7.0,643,496,0.7714,147,12,41,13.12,1,High-Value Frequent Loyalists
224,3,13.333333,11.930353,1,7,23.0,22,5,0.2273,17,6,10,7.33,2,Occasional / At-Risk Shoppers
225,11,15.363636,10.012719,2,10,6.0,60,34,0.5667,26,6,11,5.45,3,Routine Convenience Buyers
226,21,12.761905,9.19187,2,8,6.0,220,152,0.6909,68,15,41,10.48,1,High-Value Frequent Loyalists
227,31,8.580646,7.5532517,1,14,7.0,562,348,0.6192,214,17,62,18.13,1,High-Value Frequent Loyalists
228,4,6.75,5.8523498,1,10,10.0,50,13,0.26,37,10,24,12.5,3,Routine Convenience Buyers
229,17,13.529411,10.000735,5,8,10.0,187,132,0.7059,55,10,24,11.0,3,Routine Convenience Buyers
230,10,18.3,10.667188,4,11,13.0,56,31,0.5536,25,10,19,5.6,3,Routine Convenience Buyers
231,3,10.333333,9.073771,1,0,17.0,65,27,0.4154,38,8,17,21.67,0,Full-Pantry Bulk Shoppers
232,36,7.6944447,4.4964714,5,9,13.0,445,351,0.7888,94,13,33,12.36,1,High-Value Frequent Loyalists
233,25,8.04,5.2478566,5,11,19.0,478,364,0.7615,114,12,41,19.12,0,Full-Pantry Bulk Shoppers
234,42,8.523809,4.7741075,0,13,14.0,550,323,0.5873,227,17,66,13.1,1,High-Value Frequent Loyalists
235,21,11.142858,8.193203,0,11,9.0,192,101,0.526,91,15,48,9.14,0,Full-Pantry Bulk Shoppers
236,45,5.866667,4.2404976,0,15,2.0,515,204,0.3961,311,18,77,11.44,1,High-Value Frequent Loyalists
237,8,4.875,4.4860897,0,8,0.0,69,13,0.1884,56,12,33,8.62,3,Routine Convenience Buyers
238,6,12.5,10.134101,0,19,30.0,202,83,0.4109,119,17,51,33.67,0,Full-Pantry Bulk Shoppers
239,5,18.2,12.498,1,2,16.0,45,7,0.1556,38,10,18,9.0,2,Occasional / At-Risk Shoppers
240,5,19.0,15.1657505,1,8,30.0,15,4,0.2667,11,5,8,3.0,2,Occasional / At-Risk Shoppers
